Time,X_ft,Y_ft,Z_ft,Altitude,Vertical_Velocity,Main_Deployed,CGx_in
0.005,-6.67285e-07,0,8.86619e-07,10.5,-0.160749,0,36.8352
0.01,-5.07447e-06,0,-0.00154037,10.4985,-0.321496,0,36.8352
0.015,-1.06093e-05,0,-0.00354972,10.4965,-0.482243,0,36.8352
0.02,-1.87564e-05,0,-0.00636281,10.4936,1.27467,0,36.8304
0.025,3.00847e-05,0,0.00839804,10.5084,2.48267,0,36.8254
0.03,7.75706e-05,-1.23934e-08,0.0226879,10.5227,3.75108,0,36.8201
0.035,0.000150142,-2.8918e-08,0.0447403,10.5447,4.95342,0,36.815
0.04,0.000240665,-6.60983e-08,0.0723757,10.5724,6.13241,0,36.8099
0.045,0.000350112,-1.15672e-07,0.105937,10.6059,7.29294,0,36.8049
0.05,0.00047782,-1.90033e-07,0.145265,10.6453,8.45007,0,36.8
0.055,0.000623741,-2.93311e-07,0.190401,10.6904,9.59829,0,36.795
0.06,0.000787363,-4.13114e-07,0.241245,10.7412,10.7377,0,36.7901
0.065,0.000968367,-5.74229e-07,0.297763,10.7978,11.8682,0,36.7852
0.07,0.00116638,-7.6013e-07,0.359913,10.8599,12.9901,0,36.7804
0.075,0.00138101,-9.95605e-07,0.42765,10.9277,14.1032,0,36.7756
0.08,0.00161183,-1.26413e-06,0.500931,11.0009,15.2077,0,36.7708
0.085,0.00185841,-1.58223e-06,0.579714,11.0797,16.3037,0,36.7661
0.09,0.00212028,-1.93751e-06,0.663954,11.164,17.4072,0,36.7613
0.095,0.00239739,-2.35062e-06,0.753765,11.2538,18.5445,0,36.7565
0.1,0.00269002,-2.81744e-06,0.849402,11.3494,19.6705,0,36.7516
0.105,0.00299684,-3.34209e-06,0.950546,11.4505,20.7967,0,36.7468
0.11,0.00331779,-3.92045e-06,1.05735,11.5573,21.9231,0,36.7419
0.115,0.00365227,-4.56904e-06,1.16978,11.6698,23.0498,0,36.7371
0.12,0.00399975,-5.2796e-06,1.28785,11.7878,24.1766,0,36.7322
0.125,0.00435961,-6.06452e-06,1.41155,11.9115,25.3037,0,36.7274
0.13,0.00473123,-6.91966e-06,1.54088,12.0409,26.431,0,36.7225
0.135,0.00511393,-7.8533e-06,1.67586,12.1759,27.5585,0,36.7177
0.14,0.00550699,-8.86543e-06,1.81647,12.3165,28.6863,0,36.7128
0.145,0.00590962,-9.96019e-06,1.96272,12.4627,29.8142,0,36.7079
0.15,0.00632102,-1.11458e-05,2.11462,12.6146,30.9425,0,36.7031
0.155,0.00674031,-1.24265e-05,2.27215,12.7722,32.0716,0,36.6982
0.16,0.00716659,-1.37856e-05,2.43533,12.9353,33.2014,0,36.6933
0.165,0.00759887,-1.52522e-05,2.60417,13.1042,34.3318,0,36.6885
0.17,0.00803612,-1.68096e-05,2.77865,13.2787,35.4629,0,36.6836
0.175,0.00847726,-1.84745e-05,2.9588,13.4588,36.5946,0,36.6787
0.18,0.00892114,-2.02426e-05,3.1446,13.6446,37.727,0,36.6738
0.185,0.00936656,-2.21223e-05,3.33607,13.8361,38.8601,0,36.6689
0.19,0.00981223,-2.41176e-05,3.53321,14.0332,39.9937,0,36.664
0.195,0.0102568,-2.62286e-05,3.73601,14.236,41.1281,0,36.6592
0.2,0.0106989,-2.84553e-05,3.94449,14.4445,42.2631,0,36.6543
0.205,0.0111371,-3.08059e-05,4.15865,14.6586,43.3991,0,36.6493
0.21,0.0115697,-3.32764e-05,4.37849,14.8785,44.5359,0,36.6444
0.215,0.0119953,-3.5879e-05,4.60401,15.104,45.6735,0,36.6395
0.22,0.012412,-3.86262e-05,4.83522,15.3352,46.812,0,36.6346
0.225,0.0128181,-4.14932e-05,5.07213,15.5721,47.9513,0,36.6297
0.23,0.0132118,-4.45048e-05,5.31474,15.8147,49.0915,0,36.6248
0.235,0.0135912,-4.76569e-05,5.56305,16.0631,50.2325,0,36.6198
0.24,0.0139541,-5.09535e-05,5.81707,16.3171,51.3743,0,36.6149
0.245,0.0142986,-5.44071e-05,6.0768,16.5768,52.517,0,36.61
0.25,0.0146225,-5.80054e-05,6.34224,16.8422,53.6605,0,36.605
0.255,0.0149234,-6.17606e-05,6.61341,17.1134,54.8048,0,36.6001
0.26,0.0151991,-6.56728e-05,6.8903,17.3903,55.95,0,36.5951
0.265,0.015447,-6.97502e-05,7.17291,17.6729,57.096,0,36.5902
0.27,0.0156646,-7.3997e-05,7.46126,17.9613,58.2427,0,36.5852
0.275,0.0158493,-7.8405e-05,7.75535,18.2553,59.3897,0,36.5803
0.28,0.0159984,-8.29823e-05,8.05516,18.5552,60.5371,0,36.5753
0.285,0.0161091,-8.77372e-05,8.36072,18.8607,61.6849,0,36.5704
