Time,X_ft,Y_ft,Z_ft,Altitude,Vertical_Velocity,Vertical_Acceleration,Drogue_Deployed,Main_Deployed,CG_x_in,Mass_lbs,Pred_Apogee_ft
0.005,-6.4918e-07,0,9.27597e-07,5,-0.160719,1.25022e-09,0,0,56.451,47.4099,5
0.01,-4.95808e-06,0,-0.00154008,4.99846,-0.321439,-6.43345,0,0,56.451,47.4099,4.99846
0.015,-1.12792e-05,0,-0.00354908,4.99645,-0.530409,-6.43348,0,0,56.4508,47.4097,4.99645
0.02,-2.15807e-05,0,-0.00682408,4.99318,-0.723295,-6.43352,0,0,56.4506,47.4094,4.99318
0.025,-3.43729e-05,8.48476e-09,-0.0108893,4.98911,-0.916182,-6.43355,0,0,56.4503,47.4092,4.98911
0.03,-5.0305e-05,1.69695e-08,-0.0159524,4.98405,-1.10907,-6.43359,0,0,56.4501,47.4089,4.98405
0.035,-6.92709e-05,2.96967e-08,-0.0219801,4.97802,-1.30196,-6.43363,0,0,56.4499,47.4086,4.97802
0.04,-9.12732e-05,4.24238e-08,-0.0289721,4.97103,-1.49484,-6.43367,0,0,56.4496,47.4083,4.97103
0.045,-0.000116312,6.36357e-08,-0.0369286,4.96307,-1.68773,-6.43372,0,0,56.4493,47.408,4.96307
0.05,-0.000144387,8.909e-08,-0.0458495,4.95415,-1.88062,-6.43376,0,0,56.449,47.4076,4.95415
0.055,-0.000175491,1.18787e-07,-0.0557349,4.94427,-2.07351,-6.43381,0,0,56.4487,47.4073,4.94427
0.06,-0.000209636,1.52726e-07,-0.0665847,4.93342,-2.2664,-6.43387,0,0,56.4484,47.4069,4.93342
0.065,-0.000246813,1.99392e-07,-0.0783989,4.9216,-2.45929,-6.43392,0,0,56.4481,47.4065,4.9216
0.07,-0.000287026,2.50301e-07,-0.0911776,4.90882,-2.65217,-6.43398,0,0,56.4477,47.406,4.90882
0.075,-0.000330272,3.09694e-07,-0.104921,4.89508,-2.84506,-6.43404,0,0,56.4473,47.4056,4.89508
0.08,-0.000376553,3.7333e-07,-0.119628,4.88037,-3.03795,-6.43411,0,0,56.4469,47.4051,4.88037
0.085,-0.000425867,4.49692e-07,-0.1353,4.8647,-3.23084,-6.41743,0,0,56.4465,47.4046,4.8647
0.09,-0.000478221,5.38782e-07,-0.151937,4.84806,-3.42361,-5.40368,0,0,56.446,47.404,4.84806
0.095,-0.000533608,6.32115e-07,-0.169537,4.83046,-3.60881,-4.33164,0,0,56.4456,47.4035,4.83046
0.1,-0.000591796,7.38174e-07,-0.188028,4.81197,-3.78851,-3.19796,0,0,56.4451,47.4029,4.81197
0.105,-0.000652786,8.56961e-07,-0.207409,4.79259,-3.96238,-1.9991,0,0,56.4445,47.4022,4.79259
0.11,-0.00071646,9.84233e-07,-0.227643,4.77236,-4.1301,-0.731292,0,0,56.444,47.4015,4.77236
0.115,-0.000782725,1.12847e-06,-0.2487,4.7513,-4.29131,0.609417,0,0,56.4434,47.4008,4.7513
0.12,-0.000851476,1.2812e-06,-0.270546,4.72945,-4.44563,2.02723,0,0,56.4427,47.4001,4.72945
0.125,-0.000922594,1.45089e-06,-0.293146,4.70685,-4.59267,3.52657,0,0,56.4421,47.3993,4.70685
0.13,-0.000995964,1.62907e-06,-0.316462,4.68354,-4.732,5.11215,0,0,56.4414,47.3984,4.68354
0.135,-0.00107146,1.82847e-06,-0.340454,4.65955,-4.8632,6.78891,0,0,56.4406,47.3975,4.65955
0.14,-0.00114895,2.03634e-06,-0.365082,4.63492,-4.98578,8.56211,0,0,56.4398,47.3966,4.63492
0.145,-0.0012283,2.26119e-06,-0.390299,4.6097,-5.09926,10.4373,0,0,56.439,47.3956,4.6097
0.15,-0.00130934,2.50301e-06,-0.41606,4.58394,-5.2031,12.4204,0,0,56.4381,47.3945,4.58394
0.155,-0.00139193,2.75755e-06,-0.442315,4.55768,-5.29676,14.5175,0,0,56.4372,47.3934,4.55768
0.16,-0.0014759,3.02906e-06,-0.469012,4.53099,-5.37965,16.7352,0,0,56.4362,47.3922,4.53099
0.165,-0.00156106,3.31754e-06,-0.496095,4.5039,-5.45115,19.0806,0,0,56.4351,47.391,4.5039
0.17,-0.00164724,3.62299e-06,-0.523506,4.47649,-5.5106,21.5609,0,0,56.434,47.3896,4.47649
0.175,-0.00173423,3.94117e-06,-0.551183,4.44882,-5.55732,24.1838,0,0,56.4329,47.3882,4.44882
0.18,-0.00182181,4.27632e-06,-0.57906,4.42094,-5.59056,26.9577,0,0,56.4316,47.3868,4.42094
0.185,-0.00190976,4.63268e-06,-0.607068,4.39293,-5.60956,29.8912,0,0,56.4303,47.3852,4.39293
0.19,-0.00199784,5.00177e-06,-0.635134,4.36487,-5.61348,32.9936,0,0,56.4289,47.3835,4.36487
0.195,-0.0020858,5.38782e-06,-0.66318,4.33682,-5.60148,36.2744,0,0,56.4275,47.3818,4.33682
0.2,-0.00217336,5.79085e-06,-0.691124,4.30888,-5.57263,39.7441,0,0,56.4259,47.3799,4.30888
0.205,-0.00226024,6.2066e-06,-0.71888,4.28112,-5.52595,43.4135,0,0,56.4243,47.378,4.28112
0.21,-0.00234612,6.64357e-06,-0.746356,4.25364,-5.46043,47.2942,0,0,56.4226,47.3759,4.25364
0.215,-0.00243069,7.0975e-06,-0.773455,4.22654,-5.37497,51.3982,0,0,56.4207,47.3737,4.22654
0.22,-0.0025136,7.56841e-06,-0.800075,4.19992,-5.26844,55.7385,0,0,56.4188,47.3714,4.19992
0.225,-0.00259448,8.0478e-06,-0.826107,4.17389,-5.13962,60.3287,0,0,56.4168,47.369,4.17389
0.23,-0.00267295,8.5484e-06,-0.851437,4.14856,-4.98722,65.1833,0,0,56.4146,47.3664,4.14856
0.235,-0.00274857,9.06173e-06,-0.875943,4.12406,-4.80989,70.3174,0,0,56.4123,47.3636,4.12406
0.24,-0.00282092,9.59203e-06,-0.899497,4.1005,-4.60618,75.7473,0,0,56.4099,47.3607,4.1005
0.245,-0.00288952,1.0135e-05,-0.921964,4.07804,-4.37459,81.49,0,0,56.4073,47.3577,4.07804
0.25,-0.00295387,1.06908e-05,-0.9432,4.0568,-4.1135,87.5635,0,0,56.4046,47.3544,4.0568
0.255,-0.00301345,1.1255e-05,-0.963054,4.03695,-3.82122,93.987,0,0,56.4018,47.351,4.03695
0.26,-0.00306767,1.1832e-05,-0.981364,4.01864,-3.49595,100.781,0,0,56.3987,47.3474,4.01864
0.265,-0.00311596,1.24217e-05,-0.997962,4.00204,-3.13578,107.966,0,0,56.3955,47.3436,4.00204
0.27,-0.00315766,1.30199e-05,-1.01267,3.98733,-2.7387,115.566,0,0,56.3921,47.3395,3.98733
0.275,-0.0031921,1.36265e-05,-1.02529,3.97471,-2.3026,123.603,0,0,56.3886,47.3352,3.97471
0.28,-0.00321856,1.42417e-05,-1.03563,3.96437,-1.8252,65990,0,0,56.3848,47.3307,3.96437
0.285,-0.00323511,1.48611e-05,-1.04315,3.95685,492.63,141.087,0,0,56.3808,47.3259,1890.05
0.29,0.0590599,1.2672e-05,3.68498,8.68498,328.553,-131.49,0,0,56.3765,47.3209,1131.55
0.295,0.0572612,1.20187e-05,3.54561,8.54561,327.053,84.1973,0,0,56.372,47.3155,1124.14
0.3,0.0885888,8.95567e-06,5.51584,10.5158,327.853,-7.16647,0,0,56.3673,47.3098,1130.01
0.305,0.100241,5.17146e-06,7.1619,12.1619,327.428,-82.3546,0,0,56.3623,47.3039,1129.61
0.31,0.136593,5.09086e-07,8.79543,13.7954,326.667,159.415,0,0,56.357,47.2975,1127.57
0.315,0.14383,-5.21813e-06,10.4262,15.4262,327.908,-197.87,0,0,56.3514,47.2909,1135.25
0.32,0.177071,-1.18447e-05,12.073,17.073,325.865,186.672,0,0,56.3457,47.2841,1126.99
0.325,0.194969,-1.94344e-05,13.6904,18.6904,327.599,-125.527,0,0,56.3398,47.2771,1137.05
0.33,0.212413,-2.80761e-05,15.3406,20.3406,326.03,27.228,0,0,56.3338,47.2698,1131.1
0.335,0.247157,-3.75239e-05,16.9599,21.9599,326.387,84.7266,0,0,56.3275,47.2624,1134.48
0.34,0.251171,-4.81341e-05,18.5968,23.5968,326.794,-181.721,0,0,56.3211,47.2548,1138.11
0.345,0.292123,-5.95333e-05,20.2319,25.2319,325.058,237.167,0,0,56.3145,47.2469,1131.5
0.35,0.299247,-7.1989e-05,21.8484,26.8484,327.131,-233.759,0,0,56.3077,47.2388,1143.04
0.355,0.327959,-8.54331e-05,23.4972,28.4972,324.624,168.531,0,0,56.3007,47.2305,1132.7
0.36,0.353803,-9.96832e-05,25.1045,30.1045,326.312,-54.6639,0,0,56.2935,47.2219,1142.35
0.365,0.361807,-0.000115164,26.749,31.749,325.319,-81.0028,0,0,56.2861,47.2131,1139.35
0.37,0.404999,-0.000131285,28.3675,33.3675,324.688,204.102,0,0,56.2784,47.204,1137.94
